cve_municipio,desc_municipio,nacimientos,muertes,poblacion_total,tasa_crecimiento_natural,tasa_de_mortalidad,tasa_de_natalidad,cluster_label
19,Bolaños,291,43,7043,35.21226749964504,6.105352832599744,41.31762033224478,Cluster 1
61,Mezquitic,770,115,22083,29.660825069057648,5.207625775483404,34.86845084454105,Cluster 1
125,San Ignacio Cerro Gordo,522,139,18341,20.882176544354177,7.578648928629846,28.460825472984027,Cluster 1
71,San Cristóbal de la Barranca,63,16,2924,16.073871409028726,5.471956224350205,21.545827633378934,Cluster 2
106,Tuxcacuesco,122,35,5482,15.870120394016782,6.384531192995258,22.25465158701204,Cluster 2
111,Valle de Guadalupe,176,71,6627,15.844273426889995,10.713746793420855,26.55802022031085,Cluster 1
86,Tapalpa,471,138,21245,15.674276300305955,6.495646034361026,22.16992233466698,Cluster 2
32,Chiquilistlán,139,49,5983,15.042620758816648,8.189871302022397,23.232492060839043,Cluster 2
66,Poncitlán,1202,412,53659,14.722600122998937,7.678115507184256,22.400715630183196,Cluster 2
46,Jalostotitlán,722,252,32678,14.382765163106678,7.711610257665708,22.094375420772383,Cluster 2
117,Cañadas de Obregón,97,36,4388,13.90154968094804,8.204193254329992,22.10574293527803,Cluster 2
10,Atemajac de Brizuela,160,55,7758,13.534416086620263,7.089456045372518,20.623872131992783,Cluster 2
55,Magdalena,466,172,21781,13.498002846517606,7.896790780955879,21.394793627473486,Cluster 2
31,Chimaltitán,64,20,3270,13.45565749235474,6.116207951070336,19.571865443425075,Cluster 2
93,Tepatitlán de Morelos,2950,982,150190,13.103402357014447,6.53838471269725,19.6417870697117,Cluster 2
42,Huejuquilla el Alto,228,101,10015,12.680978532201697,10.084872690963556,22.765851223165253,Cluster 0
124,Zapotlanejo,1326,517,64806,12.483412029750331,7.977656389840446,20.461068419590777,Cluster 2
8,Arandas,1487,487,80609,12.405562654294185,6.041509012641269,18.447071666935454,Cluster 2
50,Jocotepec,979,403,47105,12.228001273750133,8.555355057849484,20.78335633159962,Cluster 2
34,Ejutla,46,22,1981,12.115093387178193,11.10550227158001,23.220595658758203,Cluster 0
78,San Miguel el Alto,641,256,31965,12.044423588299702,8.00875958079149,20.053183169091195,Cluster 2
72,San Diego de Alejandría,156,65,7609,11.959521619135234,8.542515442239454,20.502037061374686,Cluster 2
64,Ojuelos de Jalisco,690,291,33588,11.879242586638085,8.663808503036798,20.543051089674886,Cluster 2
9,EL Arenal,419,170,21115,11.792564527587023,8.051148472649775,19.8437130002368,Cluster 2
74,San Julián,334,151,16792,10.898046688899475,8.99237732253454,19.890424011434018,Cluster 2
40,Hostotipaquillo,174,81,8732,10.650480989464041,9.276225377920293,19.926706367384334,Cluster 0
94,Tequila,798,332,44353,10.506617365228959,7.485401212995739,17.992018578224695,Cluster 2
52,Juchitlán,109,51,5534,10.480664980122878,9.215757137694254,19.69642211781713,Cluster 0
59,Mazamitla,269,123,14043,10.396638894823043,8.758812219611196,19.155451114434236,Cluster 2
73,San Juan de los Lagos,1281,535,72230,10.328118510314274,7.406894642115465,17.73501315242974,Cluster 2
109,Unión de San Antonio,328,136,19069,10.068697886622267,7.1319943363574385,17.200692222979704,Cluster 2
1,Acatic,408,175,23175,10.05393743257821,7.551240560949299,17.605177993527505,Cluster 2
100,Tomatlán,596,237,36316,9.885449939420642,6.526049124352902,16.411499063773544,Cluster 2
118,Yahualica de González Gallo,476,256,22394,9.824060016075736,11.431633473251765,21.2556934893275,Cluster 0
29,Cuquío,317,143,17820,9.764309764309763,8.024691358024691,17.789001122334458,Cluster 2
45,Ixtlahuacán del Río,360,162,20465,9.675054971903249,7.91595406792084,17.59100903982409,Cluster 2
96,Tizapán el Alto,425,209,22758,9.491167940943845,9.183583794709552,18.674751735653395,Cluster 0
58,Mascota,272,135,14451,9.480312781122414,9.3419140543907,18.822226835513113,Cluster 0
116,Villa Hidalgo,375,187,20088,9.358821186778176,9.309040223018718,18.667861409796895,Cluster 0
62,Mixtlán,67,33,3638,9.345794392523365,9.070918086860914,18.416712479384277,Cluster 0
83,Tala,1421,608,87690,9.271296613068765,6.933515794275288,16.204812407344054,Cluster 2
112,Valle de Juárez,102,45,6151,9.26678588847342,7.315883596163225,16.582669484636643,Cluster 2
13,Atotonilco el Alto,1049,468,64009,9.076848568170101,7.311471824274712,16.388320392444815,Cluster 2
53,Lagos de Moreno,3066,1512,172403,9.013764261642779,8.77014901132811,17.78391327297089,Cluster 2
119,Zacoalco de Torres,549,282,30472,8.762142294565503,9.254397479653452,18.016539774218955,Cluster 0
91,Teocaltiche,735,386,39839,8.760260046687918,9.688998217826752,18.449258264514672,Cluster 0
98,San Pedro Tlaquepaque,10854,4837,687127,8.756750935416598,7.039455588268254,15.79620652368485,Cluster 3
70,El Salto,3365,1347,232852,8.666449074948893,5.784790338927731,14.451239413876625,Cluster 2
36,Etzatlán,341,168,20011,8.645245115186647,8.395382539603219,17.040627654789866,Cluster 2
99,Tolimán,189,93,11219,8.5569123807826,8.289508868883145,16.846421249665745,Cluster 2
47,Jamay,421,208,24894,8.556278621354544,8.355427010524625,16.911705631879165,Cluster 2
63,Ocotlán,1715,813,106050,8.505421970768504,7.666195190947667,16.17161716171617,Cluster 2
48,Jesús María,336,180,18982,8.218312085133284,9.482667790538404,17.70097987567169,Cluster 0
18,La Barca,1204,646,67937,8.213491911624006,9.508809632453596,17.722301544077602,Cluster 0
92,Teocuitatlán de Corona,192,102,11039,8.152912401485642,9.239967388350394,17.392879789836037,Cluster 0
44,Ixtlahuacán de los Membrillos,900,346,67969,8.150774617840487,5.090555988759581,13.241330606600068,Cluster 2
123,Zapotlán del Rey,321,164,19279,8.143575911613674,8.50666528346906,16.65024119508273,Cluster 2
79,Gómez Farías,291,158,16431,8.094455602215325,9.615969813158054,17.71042541537338,Cluster 0
76,San Martín de Bolaños,57,32,3095,8.077544426494345,10.339256865912763,18.416801292407108,Cluster 0
88,Tecolotlán,278,144,16603,8.07083057278805,8.673131361802083,16.743961934590132,Cluster 2
107,Tuxcueca,133,79,6702,8.057296329453894,11.787526111608475,19.84482244106237,Cluster 0
33,Degollado,372,203,21226,7.961933477810233,9.563742579854894,17.525676057665127,Cluster 0
16,Ayotlán,630,303,41552,7.869657296881017,7.292067770504428,15.161725067385445,Cluster 2
43,La Huerta,344,162,23258,7.825264425144036,6.965345257545791,14.790609682689828,Cluster 2
110,Unión de Tula,244,137,13799,7.754185085875789,9.928255670700775,17.68244075657656,Cluster 0
105,Tototlán,373,197,23573,7.466168922071862,8.357018623000892,15.823187545072754,Cluster 2
