cve_municipio,desc_municipio,nacimientos,muertes,poblacion_total,tasa_crecimiento_natural,tasa_de_mortalidad,tasa_de_natalidad
19,Bolaños,291,43,7043,35.21226749964504,6.105352832599744,41.31762033224478
61,Mezquitic,770,115,22083,29.660825069057648,5.207625775483404,34.86845084454105
125,San Ignacio Cerro Gordo,522,139,18341,20.882176544354177,7.578648928629846,28.460825472984027
71,San Cristóbal de la Barranca,63,16,2924,16.073871409028726,5.471956224350205,21.545827633378934
106,Tuxcacuesco,122,35,5482,15.870120394016782,6.384531192995258,22.25465158701204
111,Valle de Guadalupe,176,71,6627,15.844273426889995,10.713746793420855,26.55802022031085
86,Tapalpa,471,138,21245,15.674276300305955,6.495646034361026,22.16992233466698
32,Chiquilistlán,139,49,5983,15.042620758816648,8.189871302022397,23.232492060839043
66,Poncitlán,1202,412,53659,14.722600122998937,7.678115507184256,22.400715630183196
46,Jalostotitlán,722,252,32678,14.382765163106678,7.711610257665708,22.094375420772383
117,Cañadas de Obregón,97,36,4388,13.90154968094804,8.204193254329992,22.10574293527803
10,Atemajac de Brizuela,160,55,7758,13.534416086620263,7.089456045372518,20.623872131992783
55,Magdalena,466,172,21781,13.498002846517606,7.896790780955879,21.394793627473486
31,Chimaltitán,64,20,3270,13.45565749235474,6.116207951070336,19.571865443425075
93,Tepatitlán de Morelos,2950,982,150190,13.103402357014447,6.53838471269725,19.6417870697117
42,Huejuquilla el Alto,228,101,10015,12.680978532201697,10.084872690963556,22.765851223165253
124,Zapotlanejo,1326,517,64806,12.483412029750331,7.977656389840446,20.461068419590777
8,Arandas,1487,487,80609,12.405562654294185,6.041509012641269,18.447071666935454
50,Jocotepec,979,403,47105,12.228001273750133,8.555355057849484,20.78335633159962
34,Ejutla,46,22,1981,12.115093387178193,11.10550227158001,23.220595658758203
78,San Miguel el Alto,641,256,31965,12.044423588299702,8.00875958079149,20.053183169091195
72,San Diego de Alejandría,156,65,7609,11.959521619135234,8.542515442239454,20.502037061374686
64,Ojuelos de Jalisco,690,291,33588,11.879242586638085,8.663808503036798,20.543051089674886
9,EL Arenal,419,170,21115,11.792564527587023,8.051148472649775,19.8437130002368
74,San Julián,334,151,16792,10.898046688899475,8.99237732253454,19.890424011434018
40,Hostotipaquillo,174,81,8732,10.650480989464041,9.276225377920293,19.926706367384334
94,Tequila,798,332,44353,10.506617365228959,7.485401212995739,17.992018578224695
52,Juchitlán,109,51,5534,10.480664980122878,9.215757137694254,19.69642211781713
59,Mazamitla,269,123,14043,10.396638894823043,8.758812219611196,19.155451114434236
73,San Juan de los Lagos,1281,535,72230,10.328118510314274,7.406894642115465,17.73501315242974
109,Unión de San Antonio,328,136,19069,10.068697886622267,7.1319943363574385,17.200692222979704
1,Acatic,408,175,23175,10.05393743257821,7.551240560949299,17.605177993527505
100,Tomatlán,596,237,36316,9.885449939420642,6.526049124352902,16.411499063773544
118,Yahualica de González Gallo,476,256,22394,9.824060016075736,11.431633473251765,21.2556934893275
29,Cuquío,317,143,17820,9.764309764309763,8.024691358024691,17.789001122334458
45,Ixtlahuacán del Río,360,162,20465,9.675054971903249,7.91595406792084,17.59100903982409
